"key","value"
"&","and"
"@teotd","at the end of the day"
"10q","thank you"
"10x","thanks"
"2g2bt","too good to be true"
"3dpd","3-dimensional pig disgusting"
"4eae","forever and ever"
"a3","anytime anywhere anyplace"
"aaf","as a friend"
"aak","asleep at keyboard"
"aamoi","as a matter of interest"
"aap","always a pleasure"
"aar","at any rate"
"aas","alive and smiling"
"ack","acknowledge"
"adad","another day another dollar"
"adih","another day in hell"
"adip","another day in paradise"
"adn","any day now"
"adr","address"
"aeap","as early as possible"
"afaicr","as far as i can recall remember"
"afaics","as far as i can see"
"afaict","as far as i can tell"
"afaik","as far as i know"
"afair","as far as i remember"
"afap","as far as possible"
"afk","away from keyboard"
"afpoe","a fresh pair of eyes"
"aight","alright"
"aisb","as it should be"
"aka","also known as"
"alcon","all concerned"
"alol","actually laughing out loud"
"aml","all my love"
"aota","all of the above"
"asap","as soon as possible"
"asl","age sex location"
"aslp","age sex location picture"
"atb","all the best"
"ateotd","at the end of the day"
"atm","at the moment"
"awol","away without leaving"
"ayb","all your base are belong to us from the video game zero wing"
"aybabtu","all your base are belong to us from the video game zero wing"
"ayec","at your earliest convenience"
"ayor","at your own risk"
"aysos","are you stupid or something"
"aytmtb","and you are telling me this because"
"b2b","business to business"
"b2c","business to customer"
"b4","before"
"b4n","bye for now"
"bak","back at keyboard"
"bau","business as usual"
"bbiab","be back in a bit"
"bbiaf","be back in a few"
"bbiam","be back in a minute"
"bbias","be back in a sec"
"bbl","be back later"
"bbl bbs","be back later shortly soon"
"bbq","barbecue"
"bbs","be back soon"
"bbt","be back tomorrow"
"bcnu","be seeinyou"
"bcos","because"
"bdn","big damn number"
"bff","best friends forever"
"bfn","bye for now"
"bgwm","be gentle with me"
"bioyn","blow it out your nose"
"blnt","better luck next time"
"bm&y","between me and you"
"bofh","bastard operator from hell"
"bol","best of luck"
"bplm","big person little mind"
"brb","be right back"
"brt","be right there"
"bsod","blue screen of death"
"bta","but then again"
"btdt","been there done that"
"bttt","back to the top"
"btw","by the way"
"cmiiw","correct me if i wrong"
"cmon","come on"
"cob","close of business"
"cos","because"
"cr8","create"
"crb","come right back"
"crbt","crying really big tears"
"cua","see you around"
"cul","see you later"
"cul8r","see you later"
"cwyl","chat with you later"
"cya","see ya"
"cyo","see you online"
"degt","don even go there"
"dftba","don forget to be awesome"
"dftt","don feed the trolls"
"diaf","die in a fire"
"diku","do i know you"
"dnd","do not disturb"
"doa","dead on arrival refers to hardware that is broken on delivery"
"dqmot","don quote me on this"
"dts","don think so"
"dv8","deviate"
"ebkac","error between keyboard and chair"
"ef4t","effort"
"elif","explain like i five"
"ema","e-mail address"
"emfbi","excuse me for butting in"
"emsg","e-mail message"
"enuf","enough"
"eod","end of day"
"eof","end of file"
"eol","end of life"
"eom","end of message"
"eta","estimated time of arrival"
"eva","ever"
"ezy","easy"
"f2f","face to face"
